Edge TPU Compiler version 16.0.384591198
Input: model_lite/model_full_integer_ResNet8_20230218-11:26:04.tflite
Output: model_edge_tpu/model_full_integer_ResNet8_20230218-11:26:04_edgetpu.tflite

Operator                       Count      Status

SOFTMAX                        1          Mapped to Edge TPU
RESHAPE                        1          Mapped to Edge TPU
MEAN                           1          Mapped to Edge TPU
PAD                            1          Mapped to Edge TPU
MAX_POOL_2D                    1          Mapped to Edge TPU
ADD                            3          Mapped to Edge TPU
FULLY_CONNECTED                2          Mapped to Edge TPU
CONV_2D                        9          Mapped to Edge TPU
QUANTIZE                       2          Mapped to Edge TPU
